req_id,raw_text,role,action,goal,acceptance_criteria
1,"Adding context in Chat using vscode-copilot-chat repo adds a ton of unnecessary symbols. Steps to Reproduce:

1.  On latest vscode-copilot-chat, switch to agent mode in Chat and use #

<img width=""814"" height=""488"" alt=""Image"" src=""https://github.com/user-attachments/assets/d7392220-3021-494d-9821-dc71257322eb"" />",Placeholder,Placeholder,Placeholder,Placeholder
2,"#240049 Still an issue. Type: Bug

When ctrl-clicking a file link in the terminal with .\ prefix on windows, the file is not found. Fortunately I can manually remove the .\ prefix after ctrl-clicking & the file is found, but it's still an additional annoying step.

VS Code version: Code 1.97.0 (https://github.com/microsoft/vscode/commit/33fc5a94a3f99ebe7087e8fe79fbe1d37a251016, 2025-02-04T22:41:26.688Z)
OS version: Windows_NT x64 10.0.19045
Modes:

I provided a minimal example of exactly how to reproduce this. And it was ignored. ""Works for me"" is not a solution.

https://github.com/destenson/Microsoft--vscode/commit/0c6d9a2d61330978fb5a4c34e6366507a70648d2

https://github.com/microsoft/vscode/issues/240049#issue-2839569878",Placeholder,Placeholder,Placeholder,Placeholder
3,"An exception occurred when starting the project. <!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: v1.102.3 
- OS Version: win11

Steps to Reproduce:
When I first start up, I will enter this breakpoint. When I'm stuck at the breakpoint, directly clicking restart will still quickly lead to entering the breakpoint.
 

<img width=""2262"" height=""1197"" alt=""Image"" src=""https://github.com/user-attachments/assets/4a981843-c08f-4430-9b4f-dff714ff0468"" />

But when I click the restart button again, it never stops at the breakpoint and nothing is printed.

<img width=""2354"" height=""1082"" alt=""Image"" src=""https://github.com/user-attachments/assets/52c9ce8b-0a4d-4cae-a8b8-f3d6517150c1"" />

When I click Stop, the startup information on the left side has disappeared, but the restart, pause, and stop icons still remain on the page.

<img width=""2404"" height=""939"" alt=""Image"" src=""https://github.com/user-attachments/assets/2194c6ee-97f2-402f-8701-b89b09f43de0"" />",Placeholder,Placeholder,Placeholder,Placeholder
4,"can't use api models. 
Type: <b>Bug</b>

I could use them yesterday and not today. That seems pretty ridiculous. I've set everything up, as far as I know, nothing has changed except I became a paid user. 

Extension version: 0.29.1
VS Code version: Code 1.102.3 (488a1f239235055e34e673291fb8d8c810886f81, 2025-07-29T03:00:23.339Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|12th Gen Intel(R) Core(TM) i9-12900K (24 x 3187)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|127.79GB (63.65GB free)|
|Process Argv|--crash-reporter-id 236d41cf-0ae8-4b93-a7cc-4d1089d114b2|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
vswsl492:30256859
binariesv615:30325510
h48ei257:31000450
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
6518g693:31334701
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixf:31358881
9d2cg352:31346308
convertlamdaf:31358879
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31335814
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31340697
testaa123:31335226
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
ji9b5146:31348712
45650338:31358607
0cj2b977:31352657

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
5,"was stuck on the same thing . 
Type: <b>Bug</b>

made the vs stuck

Extension version: 0.29.1
VS Code version: Code 1.102.2 (c306e94f98122556ca081f527b466015e1bc37b0, 2025-07-22T12:15:48.520Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|AMD Ryzen 7 5800 8-Core Processor               (16 x 3394)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.87GB (3.38GB free)|
|Process Argv|--crash-reporter-id 0de4f99f-3f20-4621-81b8-9fd9914e0258|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
pythonvspyt551cf:31249601
binariesv615:30325510
h48ei257:31000450
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
jjjhb125:31275178
6518g693:31334701
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31358882
9d2cg352:31346308
convertlamdaf:31358879
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31351930
6abeh943:31336334
envsdeactivate2:31353495
yijiwantestdri0626-c:31336931
0927b901:31350571
4gdec884:31348710
45650338:31358607
0cj2b977:31352657
gaj49834:31355361

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
6,"How can I completely uninstall GitHub Copilot from VSCode?. 
Type: <b>Feature Request</b>

I uninstalled the GitHub Copilot extension, but it's still present in VSCode, which makes me feel held hostage.

VS Code version: Code 1.102.3 (488a1f239235055e34e673291fb8d8c810886f81, 2025-07-29T03:00:23.339Z)
OS version: Windows_NT x64 10.0.19045
Modes:


<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
7,"I get Server Error: 500 too often. 
Type: <b>Bug</b>

I do not have the steps to reproduce the issue. The 500 error is pretty sporadic and pretty frequent. I am listing a few request IDs below:
1. ff6cd3dd-6ab4-4b50-90b1-153dc11a3cfc
2. 79221287-7cbb-4735-9656-1856326158a4
3. c00194da-6a6e-4822-98af-d49c96e7eb53
4. da6393f5-4c53-49f9-a72d-c3e735e1acbe
5. c4b40662-669e-4c7f-8cef-7947cc8e676c
6. 357c36bf-12d9-48ab-ae87-c77736b4b978
7. 7ef0b222-07c6-447f-bc1a-c4cbba41940a

Extension version: 0.29.1
VS Code version: Code 1.102.2 (c306e94f98122556ca081f527b466015e1bc37b0, 2025-07-22T12:15:48.520Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|12th Gen Intel(R) Core(TM) i7-1260P (16 x 2496)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.62GB (0.73GB free)|
|Process Argv|--crash-reporter-id 1141f782-d11f-4ea1-9a1a-5af9d2f38390|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
binariesv615:30325510
h48ei257:31000450
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
hdaa2157:31222309
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31350061
9d2cg352:31346308
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31351930
testaa123:31335226
63221493:31336333
envsactivate1:31353494
yijiwantestdri0626-t:31336930
0927b901:31350571
4gdec884:31348710
8gib2676:31356126
0cj2b977:31352657
05h3e699-none:31352670

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
8,"git 源代码管理一直加载中. 
Type: <b>Performance Issue</b>

在进行源代码管理时，一直处于加载状态

VS Code version: Code 1.102.3 (488a1f239235055e34e673291fb8d8c810886f81, 2025-07-29T03:00:23.339Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Intel(R) Core(TM) i7-14650HX (24 x 2419)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|31.71GB (14.32GB free)|
|Process Argv|--crash-reporter-id 01c63f11-8878-493a-b5e1-101ee3b8f98e|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>Process Info</summary>

```
CPU %	Mem MB	   PID	Process
    0	   163	 18812	code
    1	   546	  2664	window [2] (正在运行的扩展 - site-tms-ui - Visual Studio Code)
    0	   124	  7592	file-watcher [2]
    0	   417	 16232	extension-host [2]
    0	   161	   536	     electron-nodejs (tsserver.js )
    0	   146	  2492	     electron-nodejs (server.js )
    0	   614	  5076	     electron-nodejs (tsserver.js )
    0	   121	 13656	       electron-nodejs (typingsInstaller.js typesMap.js )
    0	   110	  5136	     electron-nodejs (server.js )
    0	     5	  8932	     C:\WINDOWS\system32\cmd.exe /d /s /c ""C:\Windows\System32\cmd.exe /c ""C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe"" start""
    0	     7	   636	       C:\WINDOWS\system32\conhost.exe 0x4
    0	     5	  9508	       C:\Windows\System32\cmd.exe  /c ""C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe"" start
    0	    28	 14732	         C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe  start
    0	   169	  9316	     ""D:\software\Microsoft VS Code\Code.exe"" c:\Users\lwq\.vscode\extensions\streetsidesoftware.code-spell-checker-4.0.47\packages\_server\dist\main.cjs --node-ipc --clientProcessId=16232
    0	   142	 10292	     electron-nodejs (language-server.js )
    0	     7	 11484	     D:\software\Git\cmd\git.exe ls-tree -l HEAD -- src/App.vue
    0	     7	  3532	       C:\WINDOWS\system32\conhost.exe 0x4
    0	     3	 21724	       git.exe ls-tree -l HEAD -- src/App.vue
    0	   162	 12960	     electron-nodejs (eslintServer.js )
    0	   103	 14952	     electron-nodejs (serverMain.js )
    0	   106	 15348	     ""D:\software\Microsoft VS Code\Code.exe"" ""d:\software\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=16232
    0	     2	 20396	     D:\software\Git\cmd\git.exe add -A -- src/App.vue
    0	   109	 23196	     electron-nodejs (server.js )
    0	   107	 18692	file-watcher [1]
    0	   110	 18776	pty-host
    0	     9	  2656	     conpty-agent
    0	    72	 12008	     C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""d:\software\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0	     8	 19736	     conpty-agent
    0	    49	 19784	     C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -noexit -command ""try { . \""d:\software\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""
    0	     6	 13928	       C:\WINDOWS\system32\cmd.exe /c """"C:\Program Files\nodejs\npm.cmd"" run start""
    0	    23	 17352	         ""C:\Program Files\nodejs\\node.exe""  ""C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js"" run start
    0	     6	  7832	           C:\WINDOWS\system32\cmd.exe /d /s /c npm run serve
    0	    23	  2808	             ""C:\Program Files\nodejs\\node.exe""  ""C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js"" run serve
    0	     6	  9956	               C:\WINDOWS\system32\cmd.exe /d /s /c vue-cli-service serve
    0	  1742	  9904	                 electron-nodejs (vue-cli-service.js )
    0	    29	 18920	   crashpad-handler
    1	   292	 19012	   gpu-process
    0	    49	 19028	   utility-network-service
    0	   449	 19108	window [1] (FlexibleInsurance.js - sino-ui-plus - Visual Studio Code)
    0	   298	 19340	extension-host [1]
    0	   103	  2592	     electron-nodejs (server.js )
    0	   200	  9976	       
    0	    87	  3560	     ""D:\software\Microsoft VS Code\Code.exe"" ""d:\software\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=19340
    0	   105	  6700	     electron-nodejs (server.js )
    0	    87	 17700	     electron-nodejs (serverMain.js )
    0	   767	 19552	     electron-nodejs (tsserver.js )
    0	    95	 20436	       electron-nodejs (typingsInstaller.js typesMap.js )
    0	   128	 20152	     electron-nodejs (server.js )
    0	   126	 20340	     electron-nodejs (tsserver.js )
    0	    90	 20508	     electron-nodejs (server.js )
    0	     4	 22100	     C:\WINDOWS\system32\cmd.exe /d /s /c ""C:\Windows\System32\cmd.exe /c ""C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe"" start""
    0	     7	 22108	       C:\WINDOWS\system32\conhost.exe 0x4
    0	     4	 22168	       C:\Windows\System32\cmd.exe  /c ""C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe"" start
    0	   279	 22180	         C:\Users\lwq\.lingma\bin\2.5.18\x86_64_windows\Lingma.exe  start
    0	   154	 22124	     electron-nodejs (eslintServer.js )
    0	    86	 12560	       ""D:\software\Microsoft VS Code\Code.exe"" -e ""var p = process;p.on('message',function(m){if(m.c==='e'){p.exit(0);}else if(m.c==='rs'){try{var r=require.resolve(m.a);p.send({c:'r',s:true,r:r});}catch(err){p.send({c:'r',s:false});}}});"" """"
    0	   154	 22224	     ""D:\software\Microsoft VS Code\Code.exe"" c:\Users\lwq\.vscode\extensions\streetsidesoftware.code-spell-checker-4.0.47\packages\_server\dist\main.cjs --node-ipc --clientProcessId=19340
    0	   193	 19424	shared-process
```

</details>
<details>
<summary>Workspace Info</summary>

```
|  Window (正在运行的扩展 - site-tms-ui - Visual Studio Code)
|  Window (FlexibleInsurance.js - sino-ui-plus - Visual Studio Code)
|    Folder (site-tms-ui): 1424 files
|      File types: js(419) vue(284) png(110) gz(100) css(71) scss(28) html(25)
|                  jpg(23) json(5) md(4)
|      Conf files: launch.json(1) dockerfile(1) jsconfig.json(1)
|                  package.json(1)
|      Launch Configs: msedge
|    Folder (sino-ui-plus): 13148 files
|      File types: js(7302) ts(1203) css(603) vue(581) scss(461) png(315)
|                  map(205) json(95) md(82) html(62)
|      Conf files: package.json(34) tsconfig.json(3) gulp.js(2) dockerfile(1)
|                  jsconfig.json(1) tslint.json(1);
```

</details>
<details><summary>Extensions (65)</summary>

Extension|Author (truncated)|Version
---|---|---
project-manager|ale|12.8.0
tongyi-lingma|Ali|2.5.17
tinypng|and|1.3.0
vscode-zipfs|arc|3.0.0
antd-snippets|ban|1.2.0
color-info|bie|0.7.2
path-intellisense|chr|2.10.0
regex|chr|0.6.0
vscode-wxml|cod|0.1.9
vscode-eslint|dba|3.0.10
githistory|don|0.6.20
vscode-html-css|ecm|2.0.13
prettier-vscode|esb|11.0.0
vscode-jest-runner|fir|0.4.82
auto-close-tag|for|0.5.15
auto-rename-tag|for|0.1.10
code-runner|for|0.12.2
remotehub|Git|0.64.0
minify|Hoo|0.4.3
icon-fonts|idl|2.5.4
path-alias|IWA|0.12.3
svg|joc|1.5.4
ts-debug|kak|0.0.6
git-graph|mhu|1.30.0
dotenv|mik|1.0.1
vscode-filesize|mkx|3.2.2
vscode-scss|mrm|0.10.0
vscode-containers|ms-|2.1.0
vscode-language-pack-zh-hans|MS-|1.102.2025071609
debugpy|ms-|2025.10.0
python|ms-|2025.10.1
vscode-pylance|ms-|2025.7.1
vscode-python-envs|ms-|1.2.0
jupyter|ms-|2025.6.0
jupyter-keymap|ms-|1.1.2
jupyter-renderers|ms-|1.3.0
vscode-jupyter-cell-tags|ms-|0.1.9
vscode-jupyter-slideshow|ms-|0.1.6
remote-wsl|ms-|0.99.0
powershell|ms-|2025.2.0
remote-repositories|ms-|0.42.0
element-ui-helper|oib|1.4.1
vscode-versionlens|pfl|1.22.2
vscode-css-peek|pra|4.4.3
vscode-commons|red|0.0.6
vscode-yaml|red|1.18.0
LiveServer|rit|5.7.9
vs-code-prettier-eslint|rve|6.0.0
markdown-preview-enhanced|shd|0.8.18
html5-boilerplate|sid|1.1.1
code-spell-checker|str|4.0.47
open-in-browser|tec|2.0.0
pdf|tom|1.2.2
vscode-counter|uct|3.7.2
highlight-matching-tag|vin|0.11.0
intellicode-api-usage-examples|Vis|0.2.9
vscodeintellicode|Vis|1.3.2
vscode-icons|vsc|12.13.0
volar|Vue|3.0.4
quokka-vscode|Wal|1.0.734
vscode-todo-highlight|way|1.0.5
JavaScriptSnippets|xab|1.8.0
Pangu-Markdown|xlt|0.0.6
markdown-all-in-one|yzh|3.6.3
html-css-class-completion|Zig|1.20.0


</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
vswsl492cf:30256860
binariesv615:30325510
h48ei257:31000450
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31358882
9d2cg352:31346308
convertlamdaf:31358879
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31352135
4f60g487:31327383
nes-diff-11:31337487
replacestringexc:31350595
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
4gdec884:31348710
45650338:31358607
0cj2b977:31352657

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
9,"The 'Open Folder' feature in VSCode cannot open the folder.. 
Type: <b>Bug</b>

点击”文件“再点击”打开文件夹“；执行操作后无法打开文件夹

VS Code version: Code 1.102.3 (488a1f239235055e34e673291fb8d8c810886f81, 2025-07-29T03:00:23.339Z)
OS version: Windows_NT x64 10.0.19045
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz (8 x 2304)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|7.85GB (1.57GB free)|
|Process Argv|--crash-reporter-id 8a50a26e-eec3-46e8-a033-d5bb8a64484c|
|Screen Reader|no|
|VM|0%|
</details><details><summary>Extensions (8)</summary>

Extension|Author (truncated)|Version
---|---|---
copilot|Git|1.350.0
copilot-chat|Git|0.29.1
rainbow-csv|mec|3.20.0
vscode-language-pack-zh-hans|MS-|1.102.2025071609
debugpy|ms-|2025.10.0
python|ms-|2025.10.1
vscode-pylance|ms-|2025.7.1
vscode-python-envs|ms-|1.2.0


</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
vswsl492:30256859
binariesv615:30325510
h48ei257:31000450
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31358882
9d2cg352:31346308
convertlamdaf:31358879
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31352135
nes-diff-11:31337487
replacestringexc:31350595
6abeh943:31336334
envsdeactivate2:31353495
yijiwantestdri0626-c:31336931
0927b901:31350571
ji9b5146:31348712
45650338:31358607
0cj2b977:31352657
gaj49834:31355361

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
10,"git运行巨慢. 
Type: <b>Bug</b>

将代码在终端提交仓库，但git图形化模块还在一直加载，可能有五分多钟后才反应过来我已经提交了修改。
同时这好像也导致我运行其他拓展十分缓慢

VS Code version: Code 1.102.3 (488a1f239235055e34e673291fb8d8c810886f81, 2025-07-29T03:00:23.339Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Intel(R) Core(TM) i7-14700HX (28 x 2304)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.78GB (4.03GB free)|
|Process Argv|--crash-reporter-id 11016113-3af5-4726-a90f-6d81d21e627b|
|Screen Reader|no|
|VM|50%|
</details><details><summary>Extensions (9)</summary>

Extension|Author (truncated)|Version
---|---|---
copilot|Git|1.350.0
copilot-chat|Git|0.29.1
debugpy|ms-|2025.10.0
python|ms-|2025.10.1
vscode-pylance|ms-|2025.7.1
vscode-python-envs|ms-|1.2.0
cmake-tools|ms-|1.21.36
cpptools|ms-|1.26.3
cpptools-extension-pack|ms-|1.3.1

(1 theme extensions excluded)

</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
pythonvspyt551cf:31249601
binariesv615:30325510
2e7ec940:31000449
nativeloc1:31344060
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
hdaa2157:31222309
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixf:31350060
9d2cg352:31346308
convertlamdat:31350063
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31351930
testaa123cf:31335227
6abeh943:31336334
yijiwantestdri0626-c:31336931
0927b901:31350571
f76d9909:31348711
8gib2676:31356126
0cj2b977:31352657
05h3e699-none:31352670
gaj49834:31355361

```

</details>

<!-- generated by issue reporter -->",Placeholder,Placeholder,Placeholder,Placeholder
